GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06031""","Kings, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3668,3984,4197,4611,5056,6329,6315,7432,7333,7139,9304,11404,10869,11406,10586,12041,11812,11665,13152,13161,13843,13678,14338,15177,15753,15977,15834,16719,16896,16452,16897,17355,18552,20092,21971,23048,23512,23371,26429,25392,24331,26174,29174,28563,29407,32058,32947,34330,35664,35267,36442,41829
" ""06033""","Lake, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,72377,79809,88263,100223,118046,134168,156373,178147,206512,248026,289855,350148,401425,447902,495174,550409,590331,640356,671078,713854,804120,858014,928862,972416,1004990,1035739,1059239,1132180,1183092,1246656,1311779,1394440,1498872,1588463,1640683,1683264,1710181,1810435,1881771,1913770,1903204,2001213,2037543,2079496,2125313,2252579,2378740,2427666,2555042,2618851,2716712,3039822
" ""06033""","Lake, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,18799,19805,20929,21839,23471,24131,25629,27425,29580,32228,34740,36831,38623,39991,41805,43812,45494,46135,47139,47911,48942,51149,53036,54358,55492,56097,56265,56331,56275,56695,57214,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,64736,64258,63966,63811,64056,64266,63912,64132,64394,64463,64479
" ""06033""","Lake, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3850,4030,4217,4589,5029,5560,6101,6496,6981,7696,8344,9507,10393,11200,11845,12563,12976,13880,14236,14900,16430,16775,17514,17889,18111,18463,18826,20099,21023,21989,22928,23821,24890,25823,26253,26669,26801,28199,29367,29721,29547,30913,31709,32509,33306,35166,37014,37985,39840,40669,42144,47144
" ""06035""","Lassen, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,67368,71748,79170,83128,93102,96098,113632,129147,139038,162228,184257,201532,213276,232985,245405,265434,283016,302204,314644,335540,359113,378271,413008,450867,462147,494506,514183,543805,559647,580482,607898,626500,643094,676105,719394,749175,770539,825907,891002,944895,922698,958249,976641,965506,948871,967521,1021736,1050006,1055765,1072120,1092110,1215362
" ""06035""","Lassen, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,16611,16866,17231,17652,17644,18168,18596,18643,19352,19963,21137,21851,22570,23370,23558,23830,24128,24639,26051,26681,27334,27666,28001,28603,28774,28544,28825,31874,34123,34030,33838,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,34828,34235,33622,32128,31664,31256,30715,30919,30658,30694,30016
" ""06035""","Lassen, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,4056,4254,4595,4709,5277,5289,6111,6927,7185,8126,8717,9223,9450,9969,10417,11139,11730,12265,12078,12576,13138,13673,14750,15763,16061,17324,17838,17061,16401,17058,17965,18580,19169,20224,21202,21742,22342,23867,25018,26828,26243,27514,28528,28716,29534,30556,32689,34185,34146,34970,35581,40490
" ""06037""","Los Angeles, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,33686644,35629674,37121848,40108100,43160005,47427380,51826029,56997723,62721460,70963500,79718877,89439394,100498267,107017122,114723500,126323970,135991037,145247377,156541571,167604195,177107568,190966436,193296048,201832265,203189504,207892571,215981745,227176765,237616263,258707826,271836988,286911950,297631306,305156192,319932049,338930573,360386837,390545382,408425751,418101819,404098622,421731414,449955147,482151715,480157948,510614460,544243722,562665355,580826819,602428812,631161849,678829092
" ""06037""","Los Angeles, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,6989910,7042756,7103651,7056632,7040446,7085800,7116806,7211683,7251637,7351757,7401021,7506544,7608796,7767422,7920955,8041685,8182906,8393640,8553844,8667680,8793710,8878157,8948125,9055424,9100159,9096608,9089015,9127042,9206538,9313589,9437290,9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,9821647,9873700,9931394,9987189,10033449,10077263,10094865,10092365,10061533,10011602,9943046
" ""06037""","Los Angeles, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,4819,5059,5226,5684,6130,6693,7282,7904,8649,9653,10771,11915,13208,13778,14484,15709,16619,17304,18301,19337,20140,21510,21602,22289,22328,22854,23763,24891,25810,27777,28805,30080,30919,31440,32756,34609,36825,40105,42104,42948,41288,42939,45571,48548,48077,50891,54007,55738,57551,59874,63043,68272
" ""06039""","Madera, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,142509,157504,172911,203344,252612,288523,303984,351479,404651,443859,599802,679239,665972,687423,699323,780203,830324,922147,1049058,1133911,1222046,1330613,1418479,1602982,1665036,1700029,1729154,1886968,2030119,2107353,2236441,2338943,2534808,2738233,2931937,3251384,3396327,3590433,3933440,3938796,3813538,4237224,4465373,4703565,4856514,5204192,5292024,5531784,5712513,5844189,6072907,7025353
